id,_total_events_param,_false_alarm_pct_param,_malicious_count_param,_benign_count_param,_false_alarm_count_param,timestamp,src_host,dst_host,src_ip,dst_ip,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name,_source,phase
1,30,0.15,7,19,4,7.50322656680008,User2,User4,10.0.1.12,10.0.1.14,Subnet 1 (User),Subnet 1 (User),tcp,2827,80,http,1.164368,500,5,254,252,FIN,27,1,1,2,Normal,Benign,105280,Netcat_Backdoor,UNSW_benign,
2,30,0.15,7,19,4,8.939165831421104,User2,external_47,10.0.1.12,203.0.194.1,Subnet 1 (User),External,tcp,62140,25,smtp,3.105954,1000,5,31,29,FIN,30,32,1,1,Normal,Benign,13264,Netcat_Backdoor,UNSW_benign,
3,30,0.15,7,19,4,26.081649788824844,Enterprise1,Enterprise1,10.0.2.11,10.0.2.11,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,52869,3389,rdp,30.0,5000,50,31,29,FIN,1,2,1,4,Normal,Benign,26879,Netcat_Backdoor,UNSW_benign,
4,30,0.15,7,19,4,66.96322144464682,Enterprise2,Enterprise0,10.0.2.12,10.0.2.10,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,1038,22,ssh_admin,10.0,200,10,31,29,FIN,7,39,1,2,Normal,Benign,10924,Netcat_Backdoor,UNSW_benign,
5,30,0.15,7,19,4,82.50879551073578,Enterprise2,User1,10.0.2.12,10.0.1.11,Subnet 2 (Enterprise),Subnet 1 (User),tcp,26647,21,ftp,5.0,100000,50,31,29,CON,0,0,1,3,Normal,Benign,3941,Netcat_Backdoor,UNSW_benign,
6,30,0.15,7,19,4,126.57654590558113,User1,external_95,10.0.1.11,203.0.232.195,Subnet 1 (User),External,udp,33211,53,dns,0.01244,50,1,31,29,FIN,7,14,1,1,Normal,Benign,4761,Netcat_Backdoor,UNSW_benign,
7,30,0.15,7,19,4,191.82803953736513,User2,User0,10.0.1.12,10.0.1.10,Subnet 1 (User),Subnet 1 (User),udp,25265,53,dns,1.013945,50,1,31,29,FIN,3,5,1,1,Normal,Benign,33205,Netcat_Backdoor,UNSW_benign,
8,30,0.15,7,19,4,203.00984622687338,User0,external_93,10.0.1.10,203.0.71.55,Subnet 1 (User),External,tcp,27434,25,smtp,1.0,1000,5,31,29,FIN,6,6,1,1,Normal,Benign,24643,Netcat_Backdoor,UNSW_benign,
9,30,0.15,7,19,4,220.94136424920373,User3,User2,10.0.1.13,10.0.1.12,Subnet 1 (User),Subnet 1 (User),tcp,15315,21,ftp,5.0,100000,50,31,29,FIN,1,2,1,5,Normal,Benign,10099,Netcat_Backdoor,UNSW_benign,
10,30,0.15,7,19,4,267.6538703114536,Enterprise0,external_38,10.0.2.10,203.0.205.151,Subnet 2 (Enterprise),External,tcp,61954,3389,rdp,30.0,5000,50,254,0,REQ,5,0,2,26,Normal,Benign,45774,Netcat_Backdoor,UNSW_benign,
11,30,0.15,7,19,4,302.186379748036,User1,external_external_165,10.0.1.11,external_165,Subnet 1 (User),External,tcp,22580,20,ftp-data,0.004014,2146,14,31,29,FIN,1,2,1,4,Normal,Malicious,7516,Netcat_Backdoor,UNSW_actual,initial_access
12,30,0.15,7,19,4,405.0535528810336,User1,external_OpHost2,10.0.1.11,OpHost2,Subnet 1 (User),External,unas,23382,5000,-,7e-06,200,2,254,0,INT,0,0,4,11,DoS,Malicious,91891,Netcat_Backdoor,UNSW_actual,progression
13,30,0.15,7,19,4,500.26535969683863,User1,external_Enterprise2,10.0.1.11,Enterprise2,Subnet 1 (User),External,udp,60978,53,dns,2e-06,114,2,254,0,INT,0,0,16,33,Generic,Malicious,165927,Netcat_Backdoor,UNSW_actual,progression
14,30,0.15,7,19,4,602.9825647602997,User1,external_OpServer0,10.0.1.11,OpServer0,Subnet 1 (User),External,l2tp,41613,5000,-,8e-06,200,2,254,0,INT,0,0,2,3,Exploits,Malicious,57937,Netcat_Backdoor,UNSW_actual,progression
15,30,0.15,7,19,4,609.2745843380148,Enterprise0,external_28,10.0.2.10,203.0.52.54,Subnet 2 (Enterprise),External,tcp,60867,36290,http,0.735975,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
