id,_total_events_param,_false_alarm_pct_param,_malicious_count_param,_benign_count_param,_false_alarm_count_param,timestamp,src_host,dst_host,src_ip,dst_ip,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name,_source,phase
1,30,0.15,11,15,4,7.50322656680008,User2,external_12,10.0.1.12,203.0.199.94,Subnet 1 (User),External,tcp,11621,22,ssh_admin,10.0,200,10,31,29,FIN,7,18,1,7,Normal,Benign,23666,WannaCry,UNSW_benign,
2,30,0.15,11,15,4,26.081649788824844,User2,external_32,10.0.1.12,203.0.43.160,Subnet 1 (User),External,tcp,64143,21,ftp,5.0,100000,50,31,29,FIN,19,8,1,1,Normal,Benign,16937,WannaCry,UNSW_benign,
3,30,0.15,11,15,4,66.96322144464682,User0,external_99,10.0.1.10,203.0.244.39,Subnet 1 (User),External,tcp,25814,25,smtp,1.0,1000,5,31,29,FIN,19,8,1,1,Normal,Benign,33472,WannaCry,UNSW_benign,
4,30,0.15,11,15,4,82.50879551073578,Enterprise2,external_49,10.0.2.12,203.0.40.195,Subnet 2 (Enterprise),External,tcp,60259,25,smtp,1.0,1000,5,0,0,INT,0,0,2,2,Normal,Benign,115131,WannaCry,UNSW_benign,
5,30,0.15,11,15,4,191.82803953736513,Enterprise2,User2,10.0.2.12,10.0.1.12,Subnet 2 (Enterprise),Subnet 1 (User),tcp,26636,25,smtp,1.0,1000,5,31,29,CON,0,0,1,3,Normal,Benign,14282,WannaCry,UNSW_benign,
6,30,0.15,11,15,4,203.00984622687338,User1,User2,10.0.1.11,10.0.1.12,Subnet 1 (User),Subnet 1 (User),tcp,55389,3389,rdp,30.0,5000,50,254,252,FIN,2,1,1,2,Normal,Benign,43177,WannaCry,UNSW_benign,
7,30,0.15,11,15,4,220.94136424920373,Enterprise2,Enterprise0,10.0.2.12,10.0.2.10,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,4625,80,http,1.213128,500,5,31,29,FIN,3,5,1,1,Normal,Benign,26390,WannaCry,UNSW_benign,
8,30,0.15,11,15,4,267.6538703114536,Enterprise0,external_73,10.0.2.10,203.0.123.48,Subnet 2 (Enterprise),External,tcp,10022,80,http,0.5,500,5,31,29,CON,0,0,4,2,Normal,Benign,40073,WannaCry,UNSW_benign,
9,30,0.15,11,15,4,303.16441364763955,User1,external_User1,10.0.1.11,User1,Subnet 1 (User),External,tcp,23736,21,ftp,0.282735,4648,20,254,252,FIN,3,2,1,1,Exploits,Malicious,116790,WannaCry,UNSW_actual,initial_access
10,30,0.15,11,15,4,375.2234791457855,User1,external_external_211,10.0.1.11,external_211,Subnet 1 (User),External,tcp,12172,5000,-,9e-06,90,2,254,0,REQ,1,0,1,9,Normal,Malicious,92898,WannaCry,UNSW_actual,initial_access
11,30,0.15,11,15,4,451.639784811027,User1,external_OpHost1,10.0.1.11,OpHost1,Subnet 1 (User),External,fire,38766,5000,-,7e-06,200,2,254,0,INT,0,0,5,10,DoS,Malicious,92955,WannaCry,UNSW_actual,progression
12,30,0.15,11,15,4,528.7901646607752,User1,external_OpServer0,10.0.1.11,OpServer0,Subnet 1 (User),External,udp,27115,53,dns,5e-06,114,2,254,0,INT,0,0,16,20,Generic,Malicious,161727,WannaCry,UNSW_actual,progression
13,30,0.15,11,15,4,600.199019772629,User1,external_Enterprise1,10.0.1.11,Enterprise1,Subnet 1 (User),External,tcp,5967,80,http,0.500094,1162,16,254,252,FIN,2,1,1,1,Exploits,Malicious,69210,WannaCry,UNSW_actual,progression
14,30,0.15,11,15,4,609.2745843380148,Enterprise2,external_55,10.0.2.12,203.0.77.220,Subnet 2 (Enterprise),External,tcp,3106,16717,smtp,0.1,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
15,30,0.15,11,15,4,676.4912823801499,User1,external_Enterprise2,10.0.1.11,Enterprise2,Subnet 1 (User),External,udp,36987,53,dns,0.0011,324,4,31,29,CON,0,0,1,1,Normal,Malicious,9503,WannaCry,UNSW_actual,progression
16,30,0.15,11,15,4,754.8741332833464,User1,external_external_233,10.0.1.11,external_233,Subnet 1 (User),External,tcp,20811,5000,-,0.030749,63474,138,31,29,FIN,7,28,1,1,Normal,Malicious,15868,WannaCry,UNSW_actual,progression
17,30,0.15,11,15,4,829.0870611045241,User1,external_external_44,10.0.1.11,external_44,Subnet 1 (User),External,arp,42309,5000,-,0.0,46,1,0,0,INT,0,0,1,1,Normal,Malicious,47479,WannaCry,UNSW_actual,progression
