id,_total_events_param,_false_alarm_pct_param,_malicious_count_param,_benign_count_param,_false_alarm_count_param,timestamp,src_host,dst_host,src_ip,dst_ip,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name,_source,phase
1,30,0.15,7,19,4,7.50322656680008,Enterprise2,external_59,10.0.2.12,203.0.140.185,Subnet 2 (Enterprise),External,tcp,35718,21,ftp,5.0,100000,50,31,29,FIN,4,4,6,7,Normal,Benign,1881,passwd_gzip_scp,UNSW_benign,
2,30,0.15,7,19,4,8.939165831421104,Enterprise2,User1,10.0.2.12,10.0.1.11,Subnet 2 (Enterprise),Subnet 1 (User),udp,42413,53,dns,2.0,50,1,31,29,FIN,5,15,4,2,Normal,Benign,1368,passwd_gzip_scp,UNSW_benign,
3,30,0.15,7,19,4,26.081649788824844,Enterprise2,Enterprise2,10.0.2.12,10.0.2.12,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,17107,22,ssh_admin,10.0,200,10,31,29,FIN,5,4,1,2,Normal,Benign,11430,passwd_gzip_scp,UNSW_benign,
4,30,0.15,7,19,4,66.96322144464682,Enterprise2,external_37,10.0.2.12,203.0.135.100,Subnet 2 (Enterprise),External,tcp,15495,21,ftp,5.0,100000,50,31,29,FIN,3,5,1,1,Normal,Benign,34820,passwd_gzip_scp,UNSW_benign,
5,30,0.15,7,19,4,82.50879551073578,Enterprise0,external_67,10.0.2.10,203.0.160.127,Subnet 2 (Enterprise),External,tcp,57322,21,ftp,5.0,100000,50,31,29,FIN,7,7,1,4,Normal,Benign,18076,passwd_gzip_scp,UNSW_benign,
6,30,0.15,7,19,4,126.57654590558113,Enterprise2,Enterprise0,10.0.2.12,10.0.2.10,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,33722,25,smtp,1.447686,1000,5,31,29,FIN,2,370,1,5,Normal,Benign,6793,passwd_gzip_scp,UNSW_benign,
7,30,0.15,7,19,4,191.82803953736513,Enterprise0,Enterprise1,10.0.2.10,10.0.2.11,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,61793,22,ssh_admin,10.0,200,10,31,29,CON,0,0,1,2,Normal,Benign,21970,passwd_gzip_scp,UNSW_benign,
8,30,0.15,7,19,4,203.00984622687338,User3,User3,10.0.1.13,10.0.1.13,Subnet 1 (User),Subnet 1 (User),tcp,19149,80,http,0.5,500,5,31,29,FIN,1,4,1,8,Normal,Benign,28454,passwd_gzip_scp,UNSW_benign,
9,30,0.15,7,19,4,220.94136424920373,Enterprise2,external_71,10.0.2.12,203.0.60.158,Subnet 2 (Enterprise),External,tcp,55054,80,http,0.5,500,5,254,0,INT,0,0,1,2,Normal,Benign,43379,passwd_gzip_scp,UNSW_benign,
10,30,0.15,7,19,4,267.6538703114536,User4,external_9,10.0.1.14,203.0.45.116,Subnet 1 (User),External,tcp,1487,21,ftp,5.0,100000,50,31,29,FIN,5,4,1,1,Normal,Benign,11870,passwd_gzip_scp,UNSW_benign,
11,30,0.15,7,19,4,302.186379748036,Enterprise2,external_Enterprise2,10.0.2.12,Enterprise2,Subnet 2 (Enterprise),External,arp,13045,5000,-,0.0,644,14,0,0,INT,0,0,2,2,Normal,Malicious,111241,passwd_gzip_scp,UNSW_actual,initial_access
