timestamp,src_host,dst_host,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name
7.50322656680008,User3,external_73,Subnet 1 (User),External,tcp,14878,80,http,0.5,500,5,31,29,FIN,5,4,1,1,Normal,Benign,12345,Netcat_Backdoor
66.96322144464682,Enterprise2,external_73,Subnet 2 (Enterprise),External,tcp,43159,3389,rdp,30.0,5000,50,254,252,FIN,3,1,1,1,Normal,Benign,83801,Netcat_Backdoor
82.50879551073578,Enterprise0,external_40,Subnet 2 (Enterprise),External,tcp,24643,25,smtp,1.313603,1000,5,254,252,FIN,2,1,1,2,Normal,Benign,89200,Netcat_Backdoor
191.82803953736513,Enterprise0,external_100,Subnet 2 (Enterprise),External,tcp,30920,21,ftp,5.0,100000,50,31,29,FIN,7,14,1,2,Normal,Benign,37066,Netcat_Backdoor
203.00984622687338,Enterprise1,OpHost1,Subnet 2 (Enterprise),Subnet 3 (Operational),tcp,43011,21,ftp,5.0,100000,50,31,29,FIN,7,7,1,3,Normal,Benign,33210,Netcat_Backdoor
220.94136424920373,Enterprise1,external_56,Subnet 2 (Enterprise),External,tcp,59536,25,smtp,1.0,1000,5,31,29,FIN,7,11,1,1,Normal,Benign,14919,Netcat_Backdoor
304.4608978385242,external_User0,external_Enterprise0,External,External,tcp,11462,5000,-,0.403315,561358,666,31,29,FIN,21,197,3,8,Normal,Malicious,31912,Netcat_Backdoor
350.43469416314707,external_external_222,external_Enterprise2,External,External,udp,38863,53,dns,5e-06,114,2,254,0,INT,0,0,15,31,Generic,Malicious,146911,Netcat_Backdoor
402.10960909842635,external_User3,external_Enterprise2,External,External,udp,54858,53,dns,0.001078,324,4,31,29,CON,0,0,1,6,Normal,Malicious,14712,Netcat_Backdoor
450.14898609719035,external_User3,external_OpHost0,External,External,ospf,52607,5000,-,4.598935,5248,82,254,0,INT,0,0,1,1,Exploits,Malicious,156912,Netcat_Backdoor
501.639784811027,external_Enterprise0,external_OpHost1,External,External,tcp,56437,5000,-,1.680352,1750,18,254,252,FIN,2,1,1,2,Fuzzers,Malicious,99931,Netcat_Backdoor
578.7901646607752,external_User2,external_OpHost2,External,External,udp,25907,53,dns,9e-06,114,2,254,0,INT,0,0,30,30,Generic,Malicious,139115,Netcat_Backdoor
650.199019772629,external_external_211,external_User0,External,External,unas,62342,5000,-,7e-06,200,2,254,0,INT,0,0,1,2,Exploits,Malicious,56531,Netcat_Backdoor
726.4912823801499,external_User2,external_Enterprise0,External,External,tcp,37305,5000,-,12.30845,180,4,254,0,REQ,3,0,2,9,Normal,Malicious,45778,Netcat_Backdoor
809.7482665666928,external_Enterprise0,external_OpHost1,External,External,unas,62956,5000,-,3e-06,200,2,254,0,INT,0,0,2,5,Fuzzers,Malicious,144418,Netcat_Backdoor
958.1741222090483,external_Enterprise1,external_external_133,External,External,arp,36301,5000,-,0.0,46,1,0,0,INT,0,0,2,2,Normal,Malicious,108639,Netcat_Backdoor
1104.5491317746428,Enterprise1,OpHost2,Subnet 2 (Enterprise),Subnet 3 (Operational),tcp,41696,22,ssh_admin,10.0,200,10,31,29,FIN,7,24,1,1,Normal,Benign,22785,Netcat_Backdoor
1133.6594545112628,Enterprise2,external_93,Subnet 2 (Enterprise),External,tcp,33830,39735,dns,0.178834,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1208.8356498682472,User0,Enterprise0,Subnet 1 (User),Subnet 2 (Enterprise),tcp,19077,80,http,0.5,500,5,31,29,FIN,7,7,1,3,Normal,Benign,20110,Netcat_Backdoor
1254.3084354284877,Enterprise2,OpHost0,Subnet 2 (Enterprise),Subnet 3 (Operational),tcp,10385,22,ssh_admin,10.0,200,10,31,29,FIN,7,14,1,2,Normal,Benign,29799,Netcat_Backdoor
1338.1753615625944,User3,external_2,Subnet 1 (User),External,tcp,44316,80,http,0.5,500,5,31,29,FIN,4,4,6,7,Normal,Benign,146,Netcat_Backdoor
1418.5491686760297,Enterprise2,external_39,Subnet 2 (Enterprise),External,tcp,25528,43271,dns,0.377186,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1419.3432753666928,User4,external_42,Subnet 1 (User),External,tcp,24812,53,dns,1.0,125305,250,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1512.485978713136,Enterprise1,Enterprise0,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,47082,53,dns,2.0,50,1,31,29,FIN,144,199,1,3,Normal,Benign,30616,Netcat_Backdoor
1520.7452062733782,Enterprise2,external_99,Subnet 2 (Enterprise),External,tcp,63076,22,ssh_admin,9.119241838368596,2000,40,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1569.498873269492,User0,external_31,Subnet 1 (User),External,tcp,54502,25,smtp,1.1970249000000002,225100,450,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown
1588.6975764917588,User2,external_47,Subnet 1 (User),External,tcp,28155,25,smtp,1.0,1000,5,31,29,FIN,2,2,1,3,Normal,Benign,3461,Netcat_Backdoor
1664.0734762829657,User4,external_25,Subnet 1 (User),External,tcp,35705,80,http,0.5,500,5,31,29,FIN,7,7,1,4,Normal,Benign,27741,Netcat_Backdoor
1666.6013196744786,User3,Enterprise0,Subnet 1 (User),Subnet 2 (Enterprise),tcp,15658,3389,rdp,30.0,5000,50,62,252,FIN,2,2,1,2,Normal,Benign,88123,Netcat_Backdoor
1770.0491505447467,User4,Enterprise2,Subnet 1 (User),Subnet 2 (Enterprise),tcp,28766,22,ssh_admin,10.0,200,10,62,252,FIN,2,2,1,2,Normal,Benign,44941,Netcat_Backdoor
